id:ID,name,inception,:LABEL
Q11964041,Concurrent C,1984-01-01T00:00:00Z,Technology
Q286443,nesC,,Technology
Q369244,SolidThinking Embed,1989-01-01T00:00:00Z,Technology
Q2597533,XML-QL,,Technology
Q3334275,NCL,1987-01-01T00:00:00Z,Technology
Q3339196,Next Byte Codes,,Technology
Q4050584,THINK C,,Technology
Q4654110,ASCIIMathML,,Technology
Q1572341,Pike,1994-01-01T00:00:00Z,Technology
Q4918681,BitC,,Technology
Q6024222,GNU Awk,1986-01-01T00:00:00Z,Technology
Q1895587,Alef,2010-01-01T00:00:00Z,Technology
Q1798284,LPC,1989-01-01T00:00:00Z,Technology
Q544927,Limbo,1995-01-01T00:00:00Z,Technology
Q3782995,Handel-C,2005-01-01T00:00:00Z,Technology
Q3061422,EventScripts,2004-01-01T00:00:00Z,Technology
Q4115288,Ratfor,1976-01-01T00:00:00Z,Technology
Q1064516,C shell,1978-01-01T00:00:00Z,Technology
Q2569373,Cilk,1994-01-01T00:00:00Z,Technology
Q3304832,Maya Embedded Language,1998-02-01T00:00:00Z,Technology
Q5086385,Charm,1996-01-01T00:00:00Z,Technology
Q37227,Q37227,2009-11-10T00:00:00Z,Technology
Q1283865,S,1976-01-01T00:00:00Z,Technology
Q3332038,ZPL,1993-01-01T00:00:00Z,Technology
Q113048518,Bun,,Technology
Q3475961,Scol,1996-01-01T00:00:00Z,Technology
Q204693,Karel,1981-01-01T00:00:00Z,Technology
Q5125133,Claire,1994-01-01T00:00:00Z,Technology
Q128598918,C3,,Technology
Q79598,Cyclone,2002-01-01T00:00:00Z,Technology
Q17147733,Swift,2007-01-01T00:00:00Z,Technology
Q81348,C--,1997-01-01T00:00:00Z,Technology
Q22095795,eC,2004-01-01T00:00:00Z,Technology
Q118152673,Mojo,2023-01-01T00:00:00Z,Technology
Q7261054,Pure,2008-01-01T00:00:00Z,Technology
Q1094499,ALGOL 58,,Technology
Q3412467,Qi,,Technology
Q135993339,MFM,,Technology
Q7474729,FACT,1959-01-01T00:00:00Z,Technology
Q213970,Q213970,1977-01-01T00:00:00Z,Technology
Q1185543,Linden Scripting Language,,Technology
Q2052676,Raku,2015-12-25T00:00:00Z,Technology
Q1106293,Genie,2008-01-01T00:00:00Z,Technology
Q22661291,Hy,2013-01-01T00:00:00Z,Technology
Q5166349,Converge,,Technology
Q18711761,Ur/Web,2014-12-01T00:00:00Z,Technology
Q65082796,PureScript,2013-01-01T00:00:00Z,Technology
Q206040,Mercury,1995-04-08T00:00:00Z,Technology
Q975594,Cython,2007-07-28T00:00:00Z,Technology
Q10876607,ChinesePython,2002-01-01T00:00:00Z,Technology
Q61632937,V,2019-06-20T00:00:00Z,Technology
Q64683329,Pyret,2014-01-01T00:00:00Z,Technology
Q3026464,MIVA Script,1996-01-01T00:00:00Z,Technology
Q1549370,Aldor,1990-01-01T00:00:00Z,Technology
Q756175,Io,2002-01-01T00:00:00Z,Technology
Q20479,Agda,2007-01-01T00:00:00Z,Technology
Q6864985,Croc,2006-06-01T00:00:00Z,Technology
Q15408477,Idris,2007-01-01T00:00:00Z,Technology
Q4659444,A♯,1971-01-01T00:00:00Z,Technology
Q608565,Cobra,2006-01-01T00:00:00Z,Technology
Q115750242,PyScript,,Technology
Q3503881,Suneido,2000-01-01T00:00:00Z,Technology
Q15777,Q15777,1972-01-01T00:00:00Z,Technology
Q4667901,Abiquo,2006-01-01T00:00:00Z,Technology
Q129137,AppleScript,1993-01-01T00:00:00Z,Technology
Q5289795,Domain/OS,,Technology
Q58329,HyperTalk,1987-01-01T00:00:00Z,Technology
Q56321053,Fuzix OS,2014-10-31T00:00:00Z,Technology
Q47604,Q47604,1981-08-12T00:00:00Z,Technology
Q2368856,Curry,1995-01-01T00:00:00Z,Technology
Q8811,Q8811,1989-01-01T00:00:00Z,Technology
Q2063,JSON,2001-01-01T00:00:00Z,Technology
Q16340,XPath,1999-01-01T00:00:00Z,Technology
Q124813537,Roc,,Technology
Q120316074,Gnolang,,Technology
Q1022951,CBASIC,,Technology
Q1023991,COMAL,1975-01-01T00:00:00Z,Technology
Q2282866,Avant Window Navigator,,Technology
