id:ID,name,inception,country,:LABEL
Q106049352,Portrait of Michał Choromański,1930-03-01T00:00:00Z,,Art
Q106050074,Portrait of Helena Białynicka-Birula,1929-10-12T00:00:00Z,,Art
Q106049596,Portrait of Michał Choromański,1930-01-06T00:00:00Z,,Art
Q106059824,Portrait of Nena Stachurska,1929-09-10T00:00:00Z,,Art
Q106049472,A fictional portrait,1931-10-12T00:00:00Z,,Art
Q106049624,Portrait of Władysław Nelken,1931-10-03T00:00:00Z,,Art
Q106050024,Portrait of Stefan Glass,1931-03-09T00:00:00Z,,Art
Q106049467,Portrait of Albina Rondomańska,1931-02-21T00:00:00Z,,Art
Q106049430,Portrait of Albina Rondomańska,1931-02-01T00:00:00Z,,Art
Q106049629,Portrait of Thomas Zan Junior,1931-01-30T00:00:00Z,,Art
Q106049477,Portrait of Hanna Moesówna,1931-01-01T00:00:00Z,,Art
Q106049916,Portrait of Michał Białynicki-Birula,1928-01-01T00:00:00Z,,Art
Q106049324,Portrait of Major Stefan Gałyński,1930-07-24T00:00:00Z,,Art
Q106049331,Portrait of Major Stefan Gałyński,1930-07-24T00:00:00Z,,Art
Q106049255,Portrait of Janina Filipowska,1930-06-01T00:00:00Z,,Art
Q106049299,Portrait of Józef Fedorowicz,1930-05-02T00:00:00Z,,Art
Q106049318,Portrait of Józef Fedorowicz,1930-05-02T00:00:00Z,,Art
Q106049353,Portrait of Michał Jagodowski,1930-05-02T00:00:00Z,,Art
Q106049280,Portrait of Janusz Domaniewski,1930-04-01T00:00:00Z,,Art
Q106049356,"Portrait of Rafał Malczewski, ""Miss Oberländer""",1930-03-28T00:00:00Z,,Art
Q106049355,A double portrait of Kazimierz Sosnkowski and Michał Choromański,1930-03-01T00:00:00Z,,Art
Q106049226,Portrait of Arthur Schroeder,1930-03-01T00:00:00Z,,Art
Q106049228,Portrait of Charles Forbes,1930-03-01T00:00:00Z,,Art
Q106049246,Portrait of Irena Domaniewska,1930-03-01T00:00:00Z,,Art
Q106049274,"Portrait of Janusz Domaniewski, Nero watching burning Rome",1930-03-01T00:00:00Z,,Art
Q106049234,Portrait of H. Spirzewska,1930-02-25T00:00:00Z,,Art
Q106049642,"Portrait of Helena Białynicka-Birula, ""Old Jew""",1930-02-25T00:00:00Z,,Art
Q106049357,Portrait of Stefan Daszyński,1930-02-01T00:00:00Z,,Art
Q106049288,Portrait of Janusz Domaniewski,1930-01-01T00:00:00Z,,Art
Q106049614,Portrait of Stanisław Totwen,1930-01-01T00:00:00Z,,Art
Q106085755,Portrait of Zofia Mohuczyna,1928-03-01T00:00:00Z,,Art
Q106050047,Portrait of Zofia Bylczyńska,1929-10-09T00:00:00Z,,Art
Q106049608,Portrait of Stefan Glass,1929-09-10T00:00:00Z,,Art
Q106049770,Portrait of Maria Nawrocka,1927-03-01T00:00:00Z,,Art
Q106084571,Joint portrait of Helena Białynicka-Birula and Albina Rondomańska,1931-02-01T00:00:00Z,,Art
Q106080355,Portrait of Marceli Staroniewicz,1927-05-01T00:00:00Z,,Art
Q106049644,Portrait of Bohdan Filipowski,1928-05-28T00:00:00Z,,Art
Q106106205,Portrait of Bohdan Filipowski,1929-10-01T00:00:00Z,,Art
Q106249626,Mood Portrait,1934-09-01T00:00:00Z,,Art
Q106412554,Portrait of Janina Turowska-Leszczyńska,1933-01-01T00:00:00Z,,Art
Q106412553,Portrait of Janina Turowska-Leszczyńska,1933-01-01T00:00:00Z,,Art
Q106412556,Portrait of Janina Turowska-Leszczyńska,1933-01-01T00:00:00Z,,Art
Q106318913,Portrait of Helena Białynicka-Birula,1927-04-01T00:00:00Z,,Art
Q106412525,Portrait of Michał Choromański,1930-03-01T00:00:00Z,,Art
Q106249641,Portrait of Jadwiga Turowska-Leszczyńska,1933-01-01T00:00:00Z,,Art
Q106412557,Portrait of Janina Turowska-Leszczyńska,1931-10-12T00:00:00Z,,Art
Q106412558,Portrait of Janina Turowska-Leszczyńska,1931-08-01T00:00:00Z,,Art
Q106412559,Portrait of Janina Turowska-Leszczyńska,1930-04-01T00:00:00Z,,Art
Q106412545,"Portrait of Maria Nawrocka, ""Richelieu""",1926-11-01T00:00:00Z,,Art
Q29635239,Portrait of Maria Kasprowiczowa ( The Crying Knight),1928-07-01T00:00:00Z,,Art
Q106049541,Portrait of a man,1931-08-01T00:00:00Z,,Art
Q106049524,Portrait of a man,1930-05-09T00:00:00Z,,Art
Q106049517,Portrait of a man,1930-01-01T00:00:00Z,,Art
Q106049509,Portrait of a woman,1931-08-01T00:00:00Z,,Art
Q105930438,Portrait of a woman,1926-11-01T00:00:00Z,,Art
Q114241542,Portrait,1933-01-01T00:00:00Z,,Art
Q108177074,"Portrait of a man, in profile",1932-01-01T00:00:00Z,,Art
Q106895618,Portrait of a woman,1939-01-01T00:00:00Z,,Art
Q109845438,"Portrait of Janina Turowska-Leszczyńska, Antinea",1933-01-01T00:00:00Z,,Art
Q108302050,"Portrait of Leokadia Białynicka-Birula, remarried Janiszewska, ""Griffin""",1928-02-01T00:00:00Z,,Art
Q108499939,Portrait of Colonel Janusz Beaurain,1935-08-16T00:00:00Z,,Art
Q109381167,Portrait of Jerzy Maciak,1936-11-01T00:00:00Z,,Art
Q108499403,A portrait of Kazimierz Wierzyński with flowery lips,1930-01-01T00:00:00Z,,Art
Q108499402,"Portrait of Zofia Szumanowa, née Szczepanowska",1929-09-10T00:00:00Z,,Art
Q108499926,Portrait of Eleanor Plutynska,1929-09-01T00:00:00Z,,Art
Q108659715,"Portrait of Maria Kamińska, eyes",1936-03-01T00:00:00Z,,Art
Q108499925,"Portrait of Helena Białynicka-Birula, ""a materializing phantom""",1927-05-01T00:00:00Z,,Art
Q106645070,Asymmetric Lady - Portrait of Eugenia Wyszomirska-Kuźnicka,1934-10-01T00:00:00Z,Poland,Art
Q108659696,Portrait of Stanisław Alberti,1933-06-02T00:00:00Z,,Art
Q108659680,Portrait of Dr. Hugo Karwowski,1931-10-03T00:00:00Z,,Art
Q108659666,Portrait of Helena Białynicka - Birula (?),1930-08-01T00:00:00Z,,Art
Q108659652,Portrait of Janusz de Beaurain - The boys have a day off,1929-10-12T00:00:00Z,,Art
Q108659651,Portrait of Idalia Iwanowska,1929-10-01T00:00:00Z,,Art
Q106412562,Portrait of Nena Stachurska,1930-03-01T00:00:00Z,,Art
Q106412560,Portrait of Nena Stachurska,1930-01-15T00:00:00Z,,Art
Q106412561,Portrait of Nena Stachurska,1929-08-01T00:00:00Z,,Art
Q106425399,Portrait of Michał Choromański,1930-01-06T00:00:00Z,,Art
Q106589309,Portrait of Nena Stachurska,1931-02-26T00:00:00Z,,Art
Q106645101,Asymmetric Lady - Portrait of Eugenia Wyszomirska-Kuźnicka,1935-03-01T00:00:00Z,Poland,Art
Q106589310,Portrait of Nena Stachurska,1930-01-14T00:00:00Z,,Art
Q106589277,Portrait of Helena Białynicka-Birula,1929-10-12T00:00:00Z,,Art
Q106569578,Portrait of Władysław Nelken,1931-10-03T00:00:00Z,,Art
Q106589281,Portrait of Janina Turowska-Leszczyńska,1930-04-01T00:00:00Z,,Art
Q106787350,Portrait of Helena Białynicka-Birula,1931-01-01T00:00:00Z,,Art
Q106824753,Portrait of Helena Białynicka-Birula,1930-08-01T00:00:00Z,,Art
Q106425358,Portrait of Artur Schroeder,1931-02-01T00:00:00Z,,Art
Q106412563,Portrait of Kazimiera Alberti,1930-01-06T00:00:00Z,,Art
Q106833091,Portrait of Stanisław Totwen,1931-10-06T00:00:00Z,,Art
Q106807861,Portrait of Józef Fedorowicz,1930-05-02T00:00:00Z,,Art
Q106824758,Portrait of Janina Turowska-Leszczyńska,1930-04-01T00:00:00Z,,Art
Q106412566,"Portrait of Father Jan Humpola, horrible uncle",1928-01-01T00:00:00Z,,Art
Q106569572,Composition with four characters,1933-10-19T00:00:00Z,,Art
Q106569574,Dialectic of bovine metaphysics,1933-10-01T00:00:00Z,,Art
Q106603204,Portrait of Dr. Jan Władysław Pakowski,1934-05-01T00:00:00Z,,Art
Q106824761,Portrait of Jan Leszczyński,1931-10-06T00:00:00Z,,Art
Q106569589,Portrait of a girl - Jadwiga Piłsudska,1931-06-01T00:00:00Z,,Art
Q106645099,Male Portrait - Self Portrait,1934-11-01T00:00:00Z,,Art
Q106569577,"Portrait of Edwarda Szmuglarowska, splinter in the eye",1930-01-01T00:00:00Z,,Art
Q106569579,A portrait of Aniela Zagórska,1929-11-01T00:00:00Z,,Art
Q106589268,"Self-portrait, in the presence of H. S.",1930-07-01T00:00:00Z,,Art
Q106589275,Portrait of Felicja Turowska,1930-02-01T00:00:00Z,,Art
Q108122261,Portrait of a woman,1926-01-01T00:00:00Z,,Art
Q106569585,Portrait of Leon Reynel,1926-05-08T00:00:00Z,,Art
Q106824750,Portrait of an Officer (Podhalańczyk),1938-04-09T00:00:00Z,,Art
Q106879335,Self-portrait (Auto-Vitcatius),1939-08-01T00:00:00Z,,Art
Q106807870,Portrait of Józef Jan Głogowski,1934-10-01T00:00:00Z,,Art
Q106833074,Portrait of Józef Jan Głogowski,1934-12-01T00:00:00Z,,Art
Q107291734,Portrait of Aleksandra Totwenowa,1930-02-24T00:00:00Z,,Art
Q114241539,Portrait of Artur Maria Swinarski,1931-01-01T00:00:00Z,,Art
Q109327875,Profesor Krzestomir is a good man just a bit perverse,1936-02-01T00:00:00Z,,Art
Q106769454,Portrait of Michał Choromański after the conversation with Mr. Marszałek Piłsudski,1930-02-25T00:00:00Z,,Art
Q107277678,Portrait of Jadwiga Turowska-Leszczyńska,1931-10-12T00:00:00Z,,Art
Q108659674,Portrait of a woman,1931-05-29T00:00:00Z,,Art
Q106833084,Portrait of Helena Białynicka,1930-04-15T00:00:00Z,,Art
Q106824738,Portrait of Anna Gramatyka-Ostrowska (?),1928-05-03T00:00:00Z,,Art
Q109381141,Portrait of Czesław Blachniński,1931-01-20T00:00:00Z,,Art
Q109523148,Portrait of Janina Szubert,1933-04-01T00:00:00Z,,Art
Q109523848,Portrait of Janina Szubert,1933-04-01T00:00:00Z,,Art
Q109557885,Portrait of Janina Szubert,1933-04-01T00:00:00Z,,Art
Q113640317,Portrait of Jan Władysław Pakowski,1934-10-31T00:00:00Z,,Art
Q108165629,Portrait of Helena Białynicka-Birula,1931-01-01T00:00:00Z,,Art
Q113648254,Portrait of Tomasz Zan,1931-01-30T00:00:00Z,,Art
Q106645086,Asymmetric Lady - Portrait of Eugenia Wyszomirska-Kuźnicka,1935-07-14T00:00:00Z,Poland,Art
Q107291717,Portrait of doktor Witold Pakowski,1934-10-31T00:00:00Z,,Art
Q107291741,Portrait of Doctor Pakowski,1934-02-01T00:00:00Z,,Art
Q113755052,"Self-portreit, ""willpower""",1930-07-01T00:00:00Z,,Art
Q107291766,Portrait of doctor Jan Władysław Pakowski,1933-10-01T00:00:00Z,,Art
Q107291731,Portrait of Janina Turowska-Leszczynska,1933-01-01T00:00:00Z,,Art
Q107311618,Awakening of lice-man,1931-08-01T00:00:00Z,,Art
Q109766742,Portrait of a woman,1934-05-01T00:00:00Z,,Art
Q108659721,Portrait of Janina Turowska-Leszczyńska,1933-01-01T00:00:00Z,,Art
Q107400609,Portrait of Janina Brzostowska,1930-04-01T00:00:00Z,,Art
Q108659660,Portrait of Michał Choromański,1930-03-01T00:00:00Z,,Art
Q107494031,Portrait of Maria Gertnerówna-Białynicka-Birula,1934-07-14T00:00:00Z,,Art
