id:ID,name,birth_date,place_of_birth,occupation,:LABEL
Q7071,Li Bai,0701-05-23T00:00:00Z,Suyab,writer,Human
Q7011,Kalidasa,http://www.wikidata.org/.well-known/genid/eca11e6ad07fa849e9459954ba14a7f7,http://www.wikidata.org/.well-known/genid/e09d4fd97240055dbe667e258fe43fde,writer,Human
Q7129,Cosimo Tura,1430-01-01T00:00:00Z,Ferrara,painter,Human
Q7031,Luca Signorelli,1450-01-01T00:00:00Z,Cortona,painter,Human
Q7099,Emmy Noether,1882-03-23T00:00:00Z,Erlangen,mathematician,Human
Q7085,Niels Bohr,1885-10-07T00:00:00Z,Copenhagen,association football player,Human
Q5879,Johann Wolfgang von Goethe,1749-08-28T00:00:00Z,Frankfurt,painter,Human
Q7200,Alexander Pushkin,1799-06-06T00:00:00Z,Moscow,prose writer,Human
Q13513,Jean-Baptiste Say,1767-01-05T00:00:00Z,Lyon,writer,Human
Q5673,Hans Christian Andersen,1805-04-02T00:00:00Z,Odense,writer,Human
Q7243,Leo Tolstoy,1828-09-09T00:00:00Z,Yasnaya Polyana,playwright,Human
Q8963,Johannes Kepler,1572-01-06T00:00:00Z,Weil der Stadt,mathematician,Human
Q7197,Simone de Beauvoir,1908-01-09T00:00:00Z,6th arrondissement of Paris,literary critic,Human
Q13888,Luchino Visconti,1906-11-02T00:00:00Z,Milan,film screenwriter,Human
Q13894,Richard Strauss,1864-06-11T00:00:00Z,Munich,conductor,Human
Q13526,Thomas Robert Malthus,1766-02-14T00:00:00Z,Westcott,writer,Human
Q13575,François Quesnay,1694-06-04T00:00:00Z,Méré,economist,Human
Q13515,Frédéric Bastiat,1801-06-30T00:00:00Z,Bayonne,politician,Human
Q13529,Alfred Marshall,1842-07-26T00:00:00Z,London,economist,Human
Q1399,Niccolò Machiavelli,1469-05-12T00:00:00Z,Florence,poet,Human
Q7186,Marie Curie,1867-11-07T00:00:00Z,Warsaw,physicist,Human
Q13938,Grey DeLisle,1973-08-24T00:00:00Z,Fort Ord,actor,Human
Q13914,Yann Martel,1963-06-25T00:00:00Z,Salamanca,writer,Human
Q14517,Mac DeMarco,1990-04-30T00:00:00Z,Duncan,singer,Human
Q14277,William Herschel,1738-11-15T00:00:00Z,Hanover,astronomer,Human
Q14279,Giovanni Domenico Cassini,1625-06-08T00:00:00Z,Perinaldo,mathematician,Human
Q14102,Wanda Orlikowski,1950-01-01T00:00:00Z,,computer scientist,Human
Q14049,Spencer Fullerton Baird,1823-02-03T00:00:00Z,Reading,writer,Human
Q13909,Angelina Jolie,1975-06-04T00:00:00Z,Los Angeles,model,Human
Q14536,Seth Meyers,1973-12-28T00:00:00Z,Evanston,writer,Human
Q14278,John Frederick William Herschel,1792-03-07T00:00:00Z,Slough,writer,Human
Q14313,Pharrell Williams,1973-04-05T00:00:00Z,Virginia Beach,singer,Human
Q14441,Liza Minnelli,1946-03-12T00:00:00Z,Los Angeles,actor,Human
Q2071,David Lynch,1946-01-20T00:00:00Z,Missoula,voice actor,Human
Q2054,Seneca,-0004-01-01T00:00:00Z,Corduba,writer,Human
Q2022,Cesare Pavese,1908-09-09T00:00:00Z,Santo Stefano Belbo,translator,Human
Q1403,Luigi Pirandello,1867-06-28T00:00:00Z,Agrigento,playwright,Human
Q1401,Petrarch,1304-07-28T00:00:00Z,Arezzo,Catholic cleric,Human
Q2042,Charles de Gaulle,1890-11-22T00:00:00Z,Lille,politician,Human
Q2908,Antoine de Saint-Exupéry,1900-06-29T00:00:00Z,Lyon,philosopher,Human
Q4724,Le Corbusier,1887-10-06T00:00:00Z,La Chaux-de-Fonds,painter,Human
Q3048,Charles Maurras,1868-04-20T00:00:00Z,Martigues,politician,Human
Q3335,George Orwell,1903-06-25T00:00:00Z,Motihari,writer,Human
Q15079,Louis C.K.,1967-09-12T00:00:00Z,"Washington, D.C.",cabaret performer,Human
Q15001,Alexander Griboyedov,1795-01-15T00:00:00Z,Moscow,writer,Human
Q14837,Louis Leakey,1903-08-07T00:00:00Z,Nairobi,curator,Human
Q5233,François-Édouard Picot,1786-10-17T00:00:00Z,Paris,painter,Human
Q4768,Karl Bryullov,1799-12-12T00:00:00Z,Saint Petersburg,painter,Human
Q4985,Herman Melville,1819-08-01T00:00:00Z,Manhattan,lecturer,Human
