id:ID,name,inception,country,:LABEL
Q31775823,Old Malay,,Srivijaya,Language
Q128202996,Zhoutun,,People's Republic of China,Language
Q24841726,Putonghua,,People's Republic of China,Language
Q56197074,Old Sundanese,,Indonesia,Language
Q125997320,Neo-Nyungar,,Australia,Language
Q117194407,Punjabi Hindwi,,,Language
Q118496643,Contact Hindi of Bihar,,,Language
Q118496837,Contact Hindi of the Great Andamanese,,,Language
Q118497011,Contact Hindi of Arunachal Pradesh,,,Language
Q118497345,Contact Hindi of Meghalaya,,,Language
